date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Neumünster.in,Neumünster.out,Kiel_Hbf.in,Kiel_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,7.0,8.0,6.0,7.0,8.0,8.0,20.0,19.0,19.0,18.0,27.0,29.0,28.0,30.0,27.0,28.0,29.0,30.0,29.0,29.0,27.0,27.0,26.0,-1.0
2024-05-29,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,3.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,12.0,13.0,12.0,11.0,14.0,14.0,28.0,28.0,35.0,35.0,33.0,34.0,26.0,26.0,21.0,20.0,26.0,29.0,29.0,29.0,29.0,29.0,31.0,-1.0
2024-05-28,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,8.0,8.0,9.0,10.0,14.0,13.0,12.0,10.0,12.0,12.0,13.0,13.0,11.0,11.0,15.0,16.0,18.0,18.0,20.0,21.0,21.0,-1.0
2024-05-27,-1.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,17.0,17.0,14.0,14.0,13.0,14.0,15.0,14.0,12.0,11.0,7.0,7.0,15.0,16.0,12.0,14.0,17.0,23.0,27.0,26.0,26.0,27.0,28.0,-1.0
2024-05-26,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,26.0,23.0,23.0,23.0,24.0,26.0,24.0,29.0,28.0,32.0,34.0,27.0,29.0,25.0,26.0,38.0,42.0,42.0,42.0,49.0,49.0,49.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,7.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,6.0,7.0,5.0,5.0,7.0,7.0,8.0,6.0,12.0,12.0,10.0,11.0,5.0,6.0,1.0,1.0,3.0,2.0,3.0,4.0,7.0,8.0,7.0,-1.0
2024-05-24,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,8.0,3.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,19.0,20.0,19.0,19.0,21.0,22.0,27.0,26.0,32.0,32.0,29.0,28.0,25.0,26.0,24.0,24.0,25.0,26.0,26.0,26.0,24.0,25.0,24.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,7.0,11.0,5.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,31.0,30.0,-1.0,-1.0,37.0,36.0,39.0,40.0,40.0,37.0,43.0,43.0,40.0,41.0,35.0,37.0,35.0,41.0,43.0,42.0,46.0,47.0,54.0,54.0,53.0,-1.0
2024-05-22,-1.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,2.0,5.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,10.0,11.0,8.0,8.0,10.0,11.0,11.0,9.0,13.0,14.0,11.0,11.0,20.0,21.0,16.0,18.0,19.0,19.0,24.0,24.0,23.0,24.0,22.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,4.0,5.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,13.0,13.0,11.0,12.0,12.0,12.0,12.0,12.0,10.0,9.0,7.0,9.0,4.0,4.0,4.0,4.0,5.0,12.0,12.0,12.0,13.0,13.0,11.0,-1.0
