date,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,-1.0,0.0,35.0,35.0,35.0,35.0,31.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
