date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,8.0,0.0
2024-05-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0
2024-05-28,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0
2024-05-27,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
2024-05-26,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,10.0,0.0
2024-05-25,0.0,2.0,7.0,7.0,16.0,11.0,13.0,12.0,0.0,0.0,11.0,10.0,7.0,6.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2024-05-24,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
2024-05-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2024-05-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,12.0,19.0,18.0,20.0,0.0,19.0,0.0
2024-05-21,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
