date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,1.0,2.0,0.0,0.0,3.0,6.0,3.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,35.0,47.0,59.0,48.0,48.0,46.0,50.0,46.0,50.0,48.0,48.0,54.0,53.0,0.0,0.0,57.0,57.0,48.0,0.0
2024-05-23,0.0,3.0,5.0,6.0,10.0,12.0,0.0,0.0,9.0,9.0,2.0,3.0,3.0,4.0,8.0,9.0,17.0,16.0,0.0,0.0,16.0,17.0,11.0,0.0
2024-05-22,0.0,1.0,1.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0
2024-05-21,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,6.0,5.0,87.0,88.0,84.0,85.0,99.0,99.0,99.0,99.0,0.0,0.0,94.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2024-05-18,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,10.0,10.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-17,0.0,3.0,5.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,5.0,7.0,8.0,4.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0
2024-05-16,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,5.0,4.0,5.0,2.0,4.0,9.0,10.0,6.0,5.0,0.0,0.0,8.0,8.0,16.0,0.0
2024-05-15,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0
2024-05-13,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2024-05-12,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,6.0,5.0,0.0,0.0,38.0,48.0,46.0,0.0
2024-05-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0
2024-05-10,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,17.0,17.0,15.0,0.0,0.0,16.0,18.0,13.0,0.0
2024-05-09,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,7.0,8.0,7.0,8.0,6.0,7.0,4.0,4.0,5.0,4.0,0.0,0.0,2.0,3.0,2.0,0.0
2024-05-08,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,11.0,12.0,13.0,12.0,11.0,0.0,0.0,9.0,9.0,3.0,0.0
2024-05-07,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,10.0,19.0,19.0,20.0,17.0,15.0,0.0,0.0,12.0,12.0,17.0,0.0
2024-05-06,0.0,0.0,1.0,2.0,10.0,9.0,0.0,0.0,7.0,7.0,5.0,7.0,4.0,5.0,7.0,7.0,4.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0
2024-05-05,0.0,1.0,2.0,3.0,5.0,6.0,0.0,0.0,4.0,5.0,2.0,4.0,7.0,10.0,6.0,8.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-05-04,0.0,2.0,2.0,4.0,6.0,6.0,0.0,0.0,6.0,7.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-03,0.0,14.0,14.0,14.0,17.0,18.0,0.0,0.0,15.0,16.0,16.0,17.0,18.0,21.0,21.0,23.0,25.0,25.0,0.0,0.0,24.0,25.0,16.0,0.0
2024-05-02,0.0,8.0,7.0,6.0,8.0,7.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-05-01,0.0,3.0,8.0,7.0,9.0,8.0,0.0,0.0,5.0,6.0,11.0,12.0,9.0,12.0,10.0,11.0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0
2024-04-30,0.0,5.0,5.0,5.0,11.0,11.0,0.0,0.0,8.0,11.0,20.0,22.0,17.0,19.0,21.0,22.0,19.0,18.0,0.0,0.0,17.0,17.0,8.0,0.0
2024-04-29,0.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,8.0,8.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-04-28,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
2024-04-27,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,14.0,18.0,20.0,19.0,25.0,24.0,24.0,20.0,20.0,0.0,0.0,28.0,28.0,35.0,0.0
2024-04-26,0.0,19.0,24.0,24.0,28.0,28.0,0.0,0.0,27.0,29.0,28.0,29.0,26.0,32.0,31.0,32.0,28.0,28.0,0.0,0.0,24.0,25.0,21.0,0.0
2024-04-25,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,9.0,9.0,5.0,4.0,0.0,0.0,6.0,5.0,2.0,0.0
2024-04-24,0.0,4.0,5.0,4.0,9.0,8.0,0.0,0.0,17.0,17.0,13.0,14.0,13.0,17.0,16.0,17.0,15.0,14.0,0.0,0.0,10.0,10.0,18.0,0.0
2024-04-23,0.0,1.0,2.0,2.0,6.0,6.0,0.0,0.0,6.0,7.0,2.0,3.0,3.0,9.0,11.0,12.0,8.0,7.0,0.0,0.0,8.0,10.0,8.0,0.0
2024-04-22,0.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,2.0,2.0,11.0,12.0,9.0,10.0,10.0,11.0,7.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,4.0,5.0,4.0,5.0,26.0,26.0,24.0,23.0,0.0,0.0,27.0,32.0,24.0,0.0
2024-04-19,0.0,17.0,17.0,18.0,20.0,20.0,0.0,0.0,19.0,20.0,17.0,19.0,18.0,21.0,20.0,21.0,21.0,20.0,0.0,0.0,27.0,27.0,29.0,0.0
2024-04-18,0.0,2.0,7.0,7.0,13.0,13.0,0.0,0.0,11.0,11.0,5.0,6.0,3.0,5.0,11.0,11.0,7.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0
2024-04-17,0.0,15.0,16.0,15.0,18.0,18.0,0.0,0.0,16.0,31.0,26.0,26.0,29.0,29.0,26.0,26.0,55.0,54.0,0.0,0.0,56.0,0.0,0.0,0.0
2024-04-16,0.0,4.0,4.0,5.0,7.0,6.0,0.0,0.0,6.0,7.0,2.0,2.0,0.0,1.0,15.0,16.0,16.0,14.0,12.0,12.0,18.0,21.0,18.0,0.0
2024-04-15,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,10.0,10.0,6.0,7.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-04-14,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,7.0,7.0,6.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0
2024-04-13,0.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,8.0,24.0,25.0,20.0,18.0,0.0,0.0,15.0,16.0,10.0,0.0
2024-04-12,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,3.0,5.0,1.0,1.0,2.0,6.0,7.0,8.0,5.0,4.0,0.0,0.0,7.0,7.0,5.0,0.0
2024-04-11,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,8.0,8.0,5.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0
2024-04-10,0.0,1.0,2.0,4.0,5.0,4.0,0.0,0.0,4.0,4.0,0.0,2.0,8.0,12.0,8.0,8.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0
2024-04-09,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,5.0,4.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0
2024-04-08,0.0,1.0,2.0,4.0,17.0,19.0,0.0,0.0,20.0,22.0,16.0,17.0,18.0,22.0,20.0,20.0,17.0,15.0,0.0,0.0,20.0,20.0,47.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,7.0,19.0,18.0,0.0,0.0,24.0,25.0,15.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,2.0,2.0,0.0,0.0,4.0,4.0,1.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,18.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,12.0,10.0,10.0,6.0,6.0,4.0,4.0,0.0,0.0,6.0,6.0,4.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,11.0,6.0,7.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
